programCode,programName,startDate,endDate,capacity,useYn,description
PRG01753,프로그램 01753,2024-10-20,2026-12-19,17,Y,교육과정 설명 01753
PRG01754,프로그램 01754,2024-10-21,2025-03-12,18,Y,교육과정 설명 01754
PRG01755,프로그램 01755,2024-10-22,2026-12-21,19,N,교육과정 설명 01755
PRG01756,프로그램 01756,2024-10-23,2025-03-10,20,Y,교육과정 설명 01756
PRG01757,프로그램 01757,2024-10-24,2026-12-23,21,Y,교육과정 설명 01757
PRG01758,프로그램 01758,2024-10-25,2025-03-08,22,Y,교육과정 설명 01758
PRG01759,프로그램 01759,2024-10-26,2026-12-25,23,Y,교육과정 설명 01759
PRG01760,프로그램 01760,2024-10-27,2025-03-06,24,N,교육과정 설명 01760
PRG01761,프로그램 01761,2024-10-28,2026-12-27,25,Y,교육과정 설명 01761
PRG01762,프로그램 01762,2024-10-29,2025-03-04,26,Y,교육과정 설명 01762
PRG01763,프로그램 01763,2024-10-30,2026-12-29,27,Y,교육과정 설명 01763
PRG01764,프로그램 01764,2024-10-31,2025-03-02,28,Y,교육과정 설명 01764
PRG01765,프로그램 01765,2024-11-01,2026-12-31,29,N,교육과정 설명 01765
PRG01766,프로그램 01766,2024-11-02,2025-02-28,30,Y,교육과정 설명 01766
PRG01767,프로그램 01767,2024-11-03,2027-01-02,31,Y,교육과정 설명 01767
PRG01768,프로그램 01768,2024-11-04,2025-02-26,32,Y,교육과정 설명 01768
PRG01769,프로그램 01769,2024-11-05,2027-01-04,33,Y,교육과정 설명 01769
PRG01770,프로그램 01770,2024-11-06,2025-02-24,34,N,교육과정 설명 01770
PRG01771,프로그램 01771,2024-11-07,2027-01-06,35,Y,교육과정 설명 01771
PRG01772,프로그램 01772,2024-11-08,2025-02-22,36,Y,교육과정 설명 01772
PRG01773,프로그램 01773,2024-11-09,2027-01-08,37,Y,교육과정 설명 01773
PRG01774,프로그램 01774,2024-11-10,2025-02-20,38,Y,교육과정 설명 01774
PRG01775,프로그램 01775,2024-11-11,2027-01-10,39,N,교육과정 설명 01775
PRG01776,프로그램 01776,2024-11-12,2025-02-18,40,Y,교육과정 설명 01776
PRG01777,프로그램 01777,2024-11-13,2027-01-12,41,Y,교육과정 설명 01777
PRG01778,프로그램 01778,2024-11-14,2025-02-16,42,Y,교육과정 설명 01778
PRG01779,프로그램 01779,2024-11-15,2027-01-14,43,Y,교육과정 설명 01779
PRG01780,프로그램 01780,2024-11-16,2025-02-14,44,N,교육과정 설명 01780
PRG01781,프로그램 01781,2024-11-17,2027-01-16,45,Y,교육과정 설명 01781
PRG01782,프로그램 01782,2024-11-18,2025-02-12,46,Y,교육과정 설명 01782
PRG01783,프로그램 01783,2024-11-19,2027-01-18,47,Y,교육과정 설명 01783
PRG01784,프로그램 01784,2024-11-20,2025-02-10,48,Y,교육과정 설명 01784
PRG01785,프로그램 01785,2024-11-21,2027-01-20,49,N,교육과정 설명 01785
PRG01786,프로그램 01786,2024-11-22,2025-02-08,50,Y,교육과정 설명 01786
PRG01787,프로그램 01787,2024-11-23,2027-01-22,51,Y,교육과정 설명 01787
PRG01788,프로그램 01788,2024-11-24,2025-02-06,52,Y,교육과정 설명 01788
PRG01789,프로그램 01789,2024-11-25,2027-01-24,53,Y,교육과정 설명 01789
PRG01790,프로그램 01790,2024-11-26,2025-02-04,54,N,교육과정 설명 01790
PRG01791,프로그램 01791,2024-11-27,2027-01-26,55,Y,교육과정 설명 01791
PRG01792,프로그램 01792,2024-11-28,2025-02-02,56,Y,교육과정 설명 01792
PRG01793,프로그램 01793,2024-11-29,2027-01-28,57,Y,교육과정 설명 01793
PRG01794,프로그램 01794,2024-11-30,2025-01-31,58,Y,교육과정 설명 01794
PRG01795,프로그램 01795,2024-12-01,2027-01-30,59,N,교육과정 설명 01795
PRG01796,프로그램 01796,2024-12-02,2025-01-29,60,Y,교육과정 설명 01796
PRG01797,프로그램 01797,2024-12-03,2027-02-01,61,Y,교육과정 설명 01797
PRG01798,프로그램 01798,2024-12-04,2025-01-27,62,Y,교육과정 설명 01798
PRG01799,프로그램 01799,2024-12-05,2027-02-03,63,Y,교육과정 설명 01799
PRG01800,프로그램 01800,2024-12-06,2025-01-25,64,N,교육과정 설명 01800
PRG01801,프로그램 01801,2024-12-07,2027-02-05,65,Y,교육과정 설명 01801
PRG01802,프로그램 01802,2024-12-08,2025-01-23,66,Y,교육과정 설명 01802
PRG01803,프로그램 01803,2024-12-09,2027-02-07,67,Y,교육과정 설명 01803
PRG01804,프로그램 01804,2024-12-10,2025-01-21,68,Y,교육과정 설명 01804
PRG01805,프로그램 01805,2024-12-11,2027-02-09,69,N,교육과정 설명 01805
PRG01806,프로그램 01806,2024-12-12,2025-01-19,70,Y,교육과정 설명 01806
PRG01807,프로그램 01807,2024-12-13,2027-02-11,71,Y,교육과정 설명 01807
PRG01808,프로그램 01808,2024-12-14,2025-01-17,72,Y,교육과정 설명 01808
PRG01809,프로그램 01809,2024-12-15,2027-02-13,73,Y,교육과정 설명 01809
PRG01810,프로그램 01810,2024-12-16,2025-01-15,74,N,교육과정 설명 01810
PRG01811,프로그램 01811,2024-12-17,2027-02-15,75,Y,교육과정 설명 01811
PRG01812,프로그램 01812,2024-12-18,2025-01-13,76,Y,교육과정 설명 01812
PRG01813,프로그램 01813,2024-12-19,2027-02-17,77,Y,교육과정 설명 01813
PRG01814,프로그램 01814,2024-12-20,2025-01-11,78,Y,교육과정 설명 01814
PRG01815,프로그램 01815,2024-12-21,2027-02-19,79,N,교육과정 설명 01815
PRG01816,프로그램 01816,2024-12-22,2025-01-09,80,Y,교육과정 설명 01816
PRG01817,프로그램 01817,2024-12-23,2027-02-21,81,Y,교육과정 설명 01817
PRG01818,프로그램 01818,2024-12-24,2025-01-07,82,Y,교육과정 설명 01818
PRG01819,프로그램 01819,2024-12-25,2027-02-23,83,Y,교육과정 설명 01819
PRG01820,프로그램 01820,2024-12-26,2025-01-05,84,N,교육과정 설명 01820
PRG01821,프로그램 01821,2024-12-27,2027-02-25,85,Y,교육과정 설명 01821
PRG01822,프로그램 01822,2024-12-28,2025-01-03,86,Y,교육과정 설명 01822
PRG01823,프로그램 01823,2024-12-29,2027-02-27,87,Y,교육과정 설명 01823
PRG01824,프로그램 01824,2024-12-30,2025-01-01,88,Y,교육과정 설명 01824
PRG01825,프로그램 01825,2024-12-31,2026-03-01,89,N,교육과정 설명 01825
PRG01826,프로그램 01826,2025-01-01,2025-12-30,90,Y,교육과정 설명 01826
PRG01827,프로그램 01827,2025-01-02,2026-03-03,91,Y,교육과정 설명 01827
PRG01828,프로그램 01828,2025-01-03,2025-12-28,92,Y,교육과정 설명 01828
PRG01829,프로그램 01829,2025-01-04,2026-03-05,93,Y,교육과정 설명 01829
PRG01830,프로그램 01830,2025-01-05,2025-12-26,94,N,교육과정 설명 01830
PRG01831,프로그램 01831,2025-01-06,2026-03-07,95,Y,교육과정 설명 01831
PRG01832,프로그램 01832,2025-01-07,2025-12-24,96,Y,교육과정 설명 01832
PRG01833,프로그램 01833,2025-01-08,2026-03-09,97,Y,교육과정 설명 01833
PRG01834,프로그램 01834,2025-01-09,2025-12-22,98,Y,교육과정 설명 01834
PRG01835,프로그램 01835,2025-01-10,2026-03-11,99,N,교육과정 설명 01835
PRG01836,프로그램 01836,2025-01-11,2025-12-20,100,Y,교육과정 설명 01836
PRG01837,프로그램 01837,2025-01-12,2026-03-13,101,Y,교육과정 설명 01837
PRG01838,프로그램 01838,2025-01-13,2025-12-18,102,Y,교육과정 설명 01838
PRG01839,프로그램 01839,2025-01-14,2026-03-15,103,Y,교육과정 설명 01839
PRG01840,프로그램 01840,2025-01-15,2025-12-16,104,N,교육과정 설명 01840
PRG01841,프로그램 01841,2025-01-16,2026-03-17,105,Y,교육과정 설명 01841
PRG01842,프로그램 01842,2025-01-17,2025-12-14,106,Y,교육과정 설명 01842
PRG01843,프로그램 01843,2025-01-18,2026-03-19,107,Y,교육과정 설명 01843
PRG01844,프로그램 01844,2025-01-19,2025-12-12,108,Y,교육과정 설명 01844
PRG01845,프로그램 01845,2025-01-20,2026-03-21,109,N,교육과정 설명 01845
PRG01846,프로그램 01846,2025-01-21,2025-12-10,110,Y,교육과정 설명 01846
PRG01847,프로그램 01847,2025-01-22,2026-03-23,111,Y,교육과정 설명 01847
PRG01848,프로그램 01848,2025-01-23,2025-12-08,112,Y,교육과정 설명 01848
PRG01849,프로그램 01849,2025-01-24,2026-03-25,113,Y,교육과정 설명 01849
PRG01850,프로그램 01850,2025-01-25,2025-12-06,114,N,교육과정 설명 01850
PRG01851,프로그램 01851,2025-01-26,2026-03-27,115,Y,교육과정 설명 01851
PRG01852,프로그램 01852,2025-01-27,2025-12-04,116,Y,교육과정 설명 01852
PRG01853,프로그램 01853,2025-01-28,2026-03-29,117,Y,교육과정 설명 01853
PRG01854,프로그램 01854,2025-01-29,2025-12-02,118,Y,교육과정 설명 01854
PRG01855,프로그램 01855,2025-01-30,2026-03-31,119,N,교육과정 설명 01855
PRG01856,프로그램 01856,2025-01-31,2025-11-30,120,Y,교육과정 설명 01856
PRG01857,프로그램 01857,2025-02-01,2026-04-02,121,Y,교육과정 설명 01857
PRG01858,프로그램 01858,2025-02-02,2025-11-28,122,Y,교육과정 설명 01858
PRG01859,프로그램 01859,2025-02-03,2026-04-04,123,Y,교육과정 설명 01859
PRG01860,프로그램 01860,2025-02-04,2025-11-26,124,N,교육과정 설명 01860
PRG01861,프로그램 01861,2025-02-05,2026-04-06,125,Y,교육과정 설명 01861
PRG01862,프로그램 01862,2025-02-06,2025-11-24,126,Y,교육과정 설명 01862
PRG01863,프로그램 01863,2025-02-07,2026-04-08,127,Y,교육과정 설명 01863
PRG01864,프로그램 01864,2025-02-08,2025-11-22,128,Y,교육과정 설명 01864
PRG01865,프로그램 01865,2025-02-09,2026-04-10,129,N,교육과정 설명 01865
PRG01866,프로그램 01866,2025-02-10,2025-11-20,130,Y,교육과정 설명 01866
PRG01867,프로그램 01867,2025-02-11,2026-04-12,131,Y,교육과정 설명 01867
PRG01868,프로그램 01868,2025-02-12,2025-11-18,132,Y,교육과정 설명 01868
PRG01869,프로그램 01869,2025-02-13,2026-04-14,133,Y,교육과정 설명 01869
PRG01870,프로그램 01870,2025-02-14,2025-11-16,134,N,교육과정 설명 01870
PRG01871,프로그램 01871,2025-02-15,2026-04-16,135,Y,교육과정 설명 01871
PRG01872,프로그램 01872,2025-02-16,2025-11-14,136,Y,교육과정 설명 01872
PRG01873,프로그램 01873,2025-02-17,2026-04-18,137,Y,교육과정 설명 01873
PRG01874,프로그램 01874,2025-02-18,2025-11-12,138,Y,교육과정 설명 01874
PRG01875,프로그램 01875,2025-02-19,2026-04-20,139,N,교육과정 설명 01875
PRG01876,프로그램 01876,2025-02-20,2025-11-10,140,Y,교육과정 설명 01876
PRG01877,프로그램 01877,2025-02-21,2026-04-22,141,Y,교육과정 설명 01877
PRG01878,프로그램 01878,2025-02-22,2025-11-08,142,Y,교육과정 설명 01878
PRG01879,프로그램 01879,2025-02-23,2026-04-24,143,Y,교육과정 설명 01879
PRG01880,프로그램 01880,2025-02-24,2025-11-06,144,N,교육과정 설명 01880
PRG01881,프로그램 01881,2025-02-25,2026-04-26,145,Y,교육과정 설명 01881
PRG01882,프로그램 01882,2025-02-26,2025-11-04,146,Y,교육과정 설명 01882
PRG01883,프로그램 01883,2025-02-27,2026-04-28,147,Y,교육과정 설명 01883
PRG01884,프로그램 01884,2025-02-28,2025-11-02,148,Y,교육과정 설명 01884
PRG01885,프로그램 01885,2025-03-01,2026-04-30,149,N,교육과정 설명 01885
PRG01886,프로그램 01886,2025-03-02,2025-10-31,150,Y,교육과정 설명 01886
PRG01887,프로그램 01887,2025-03-03,2026-05-02,151,Y,교육과정 설명 01887
PRG01888,프로그램 01888,2025-03-04,2025-10-29,152,Y,교육과정 설명 01888
PRG01889,프로그램 01889,2025-03-05,2026-05-04,153,Y,교육과정 설명 01889
PRG01890,프로그램 01890,2025-03-06,2025-10-27,154,N,교육과정 설명 01890
PRG01891,프로그램 01891,2025-03-07,2026-05-06,155,Y,교육과정 설명 01891
PRG01892,프로그램 01892,2025-03-08,2025-10-25,156,Y,교육과정 설명 01892
PRG01893,프로그램 01893,2025-03-09,2026-05-08,157,Y,교육과정 설명 01893
PRG01894,프로그램 01894,2025-03-10,2025-10-23,158,Y,교육과정 설명 01894
PRG01895,프로그램 01895,2025-03-11,2026-05-10,159,N,교육과정 설명 01895
PRG01896,프로그램 01896,2025-03-12,2025-10-21,160,Y,교육과정 설명 01896
PRG01897,프로그램 01897,2025-03-13,2026-05-12,161,Y,교육과정 설명 01897
PRG01898,프로그램 01898,2025-03-14,2025-10-19,162,Y,교육과정 설명 01898
PRG01899,프로그램 01899,2025-03-15,2026-05-14,163,Y,교육과정 설명 01899
PRG01900,프로그램 01900,2025-03-16,2025-10-17,164,N,교육과정 설명 01900
PRG01901,프로그램 01901,2025-03-17,2026-05-16,165,Y,교육과정 설명 01901
PRG01902,프로그램 01902,2025-03-18,2025-10-15,166,Y,교육과정 설명 01902
PRG01903,프로그램 01903,2025-03-19,2026-05-18,167,Y,교육과정 설명 01903
PRG01904,프로그램 01904,2025-03-20,2025-10-13,168,Y,교육과정 설명 01904
PRG01905,프로그램 01905,2025-03-21,2026-05-20,169,N,교육과정 설명 01905
PRG01906,프로그램 01906,2025-03-22,2025-10-11,170,Y,교육과정 설명 01906
PRG01907,프로그램 01907,2025-03-23,2026-05-22,171,Y,교육과정 설명 01907
PRG01908,프로그램 01908,2025-03-24,2025-10-09,172,Y,교육과정 설명 01908
PRG01909,프로그램 01909,2025-03-25,2026-05-24,173,Y,교육과정 설명 01909
PRG01910,프로그램 01910,2025-03-26,2025-10-07,174,N,교육과정 설명 01910
PRG01911,프로그램 01911,2025-03-27,2026-05-26,175,Y,교육과정 설명 01911
PRG01912,프로그램 01912,2025-03-28,2025-10-05,176,Y,교육과정 설명 01912
PRG01913,프로그램 01913,2025-03-29,2026-05-28,177,Y,교육과정 설명 01913
PRG01914,프로그램 01914,2025-03-30,2025-10-03,178,Y,교육과정 설명 01914
PRG01915,프로그램 01915,2025-03-31,2026-05-30,179,N,교육과정 설명 01915
PRG01916,프로그램 01916,2025-04-01,2025-10-01,180,Y,교육과정 설명 01916
PRG01917,프로그램 01917,2025-04-02,2026-06-01,181,Y,교육과정 설명 01917
PRG01918,프로그램 01918,2025-04-03,2025-09-29,182,Y,교육과정 설명 01918
PRG01919,프로그램 01919,2025-04-04,2026-06-03,183,Y,교육과정 설명 01919
PRG01920,프로그램 01920,2025-04-05,2025-09-27,184,N,교육과정 설명 01920
PRG01921,프로그램 01921,2025-04-06,2026-06-05,185,Y,교육과정 설명 01921
PRG01922,프로그램 01922,2025-04-07,2025-09-25,186,Y,교육과정 설명 01922
PRG01923,프로그램 01923,2025-04-08,2026-06-07,187,Y,교육과정 설명 01923
PRG01924,프로그램 01924,2025-04-09,2025-09-23,188,Y,교육과정 설명 01924
PRG01925,프로그램 01925,2025-04-10,2026-06-09,189,N,교육과정 설명 01925
PRG01926,프로그램 01926,2025-04-11,2025-09-21,190,Y,교육과정 설명 01926
PRG01927,프로그램 01927,2025-04-12,2026-06-11,191,Y,교육과정 설명 01927
PRG01928,프로그램 01928,2025-04-13,2025-09-19,192,Y,교육과정 설명 01928
PRG01929,프로그램 01929,2025-04-14,2026-06-13,193,Y,교육과정 설명 01929
PRG01930,프로그램 01930,2025-04-15,2025-09-17,194,N,교육과정 설명 01930
PRG01931,프로그램 01931,2025-04-16,2026-06-15,195,Y,교육과정 설명 01931
PRG01932,프로그램 01932,2025-04-17,2025-09-15,196,Y,교육과정 설명 01932
PRG01933,프로그램 01933,2025-04-18,2026-06-17,197,Y,교육과정 설명 01933
PRG01934,프로그램 01934,2025-04-19,2025-09-13,198,Y,교육과정 설명 01934
PRG01935,프로그램 01935,2025-04-20,2026-06-19,199,N,교육과정 설명 01935
PRG01936,프로그램 01936,2025-04-21,2025-09-11,200,Y,교육과정 설명 01936
PRG01937,프로그램 01937,2025-04-22,2026-06-21,201,Y,교육과정 설명 01937
PRG01938,프로그램 01938,2025-04-23,2025-09-09,202,Y,교육과정 설명 01938
PRG01939,프로그램 01939,2025-04-24,2026-06-23,203,Y,교육과정 설명 01939
PRG01940,프로그램 01940,2025-04-25,2025-09-07,204,N,교육과정 설명 01940
PRG01941,프로그램 01941,2025-04-26,2026-06-25,205,Y,교육과정 설명 01941
PRG01942,프로그램 01942,2025-04-27,2025-09-05,206,Y,교육과정 설명 01942
PRG01943,프로그램 01943,2025-04-28,2026-06-27,207,Y,교육과정 설명 01943
PRG01944,프로그램 01944,2025-04-29,2025-09-03,208,Y,교육과정 설명 01944
PRG01945,프로그램 01945,2025-04-30,2026-06-29,209,N,교육과정 설명 01945
PRG01946,프로그램 01946,2025-05-01,2025-09-01,210,Y,교육과정 설명 01946
PRG01947,프로그램 01947,2025-05-02,2026-07-01,211,Y,교육과정 설명 01947
PRG01948,프로그램 01948,2025-05-03,2025-08-30,212,Y,교육과정 설명 01948
PRG01949,프로그램 01949,2025-05-04,2026-07-03,213,Y,교육과정 설명 01949
PRG01950,프로그램 01950,2025-05-05,2025-08-28,214,N,교육과정 설명 01950
PRG01951,프로그램 01951,2025-05-06,2026-07-05,215,Y,교육과정 설명 01951
PRG01952,프로그램 01952,2025-05-07,2025-08-26,216,Y,교육과정 설명 01952
PRG01953,프로그램 01953,2025-05-08,2026-07-07,217,Y,교육과정 설명 01953
PRG01954,프로그램 01954,2025-05-09,2025-08-24,218,Y,교육과정 설명 01954
PRG01955,프로그램 01955,2025-05-10,2026-07-09,219,N,교육과정 설명 01955
PRG01956,프로그램 01956,2025-05-11,2025-08-22,220,Y,교육과정 설명 01956
PRG01957,프로그램 01957,2025-05-12,2026-07-11,221,Y,교육과정 설명 01957
PRG01958,프로그램 01958,2025-05-13,2025-08-20,222,Y,교육과정 설명 01958
PRG01959,프로그램 01959,2025-05-14,2026-07-13,223,Y,교육과정 설명 01959
PRG01960,프로그램 01960,2025-05-15,2025-08-18,224,N,교육과정 설명 01960
PRG01961,프로그램 01961,2025-05-16,2026-07-15,225,Y,교육과정 설명 01961
PRG01962,프로그램 01962,2025-05-17,2025-08-16,226,Y,교육과정 설명 01962
PRG01963,프로그램 01963,2025-05-18,2026-07-17,227,Y,교육과정 설명 01963
PRG01964,프로그램 01964,2025-05-19,2025-08-14,228,Y,교육과정 설명 01964
PRG01965,프로그램 01965,2025-05-20,2026-07-19,229,N,교육과정 설명 01965
PRG01966,프로그램 01966,2025-05-21,2025-08-12,230,Y,교육과정 설명 01966
PRG01967,프로그램 01967,2025-05-22,2026-07-21,231,Y,교육과정 설명 01967
PRG01968,프로그램 01968,2025-05-23,2025-08-10,232,Y,교육과정 설명 01968
PRG01969,프로그램 01969,2025-05-24,2026-07-23,233,Y,교육과정 설명 01969
PRG01970,프로그램 01970,2025-05-25,2025-08-08,234,N,교육과정 설명 01970
PRG01971,프로그램 01971,2025-05-26,2026-07-25,235,Y,교육과정 설명 01971
PRG01972,프로그램 01972,2025-05-27,2025-08-06,236,Y,교육과정 설명 01972
PRG01973,프로그램 01973,2025-05-28,2026-07-27,237,Y,교육과정 설명 01973
PRG01974,프로그램 01974,2025-05-29,2025-08-04,238,Y,교육과정 설명 01974
PRG01975,프로그램 01975,2025-05-30,2026-07-29,239,N,교육과정 설명 01975
PRG01976,프로그램 01976,2025-05-31,2025-08-02,240,Y,교육과정 설명 01976
PRG01977,프로그램 01977,2025-06-01,2026-07-31,241,Y,교육과정 설명 01977
PRG01978,프로그램 01978,2025-06-02,2025-07-31,242,Y,교육과정 설명 01978
PRG01979,프로그램 01979,2025-06-03,2026-08-02,243,Y,교육과정 설명 01979
PRG01980,프로그램 01980,2025-06-04,2025-07-29,244,N,교육과정 설명 01980
PRG01981,프로그램 01981,2025-06-05,2026-08-04,245,Y,교육과정 설명 01981
PRG01982,프로그램 01982,2025-06-06,2025-07-27,246,Y,교육과정 설명 01982
PRG01983,프로그램 01983,2025-06-07,2026-08-06,247,Y,교육과정 설명 01983
PRG01984,프로그램 01984,2025-06-08,2025-07-25,248,Y,교육과정 설명 01984
PRG01985,프로그램 01985,2025-06-09,2026-08-08,249,N,교육과정 설명 01985
PRG01986,프로그램 01986,2025-06-10,2025-07-23,250,Y,교육과정 설명 01986
PRG01987,프로그램 01987,2025-06-11,2026-08-10,251,Y,교육과정 설명 01987
PRG01988,프로그램 01988,2025-06-12,2025-07-21,252,Y,교육과정 설명 01988
PRG01989,프로그램 01989,2025-06-13,2026-08-12,253,Y,교육과정 설명 01989
PRG01990,프로그램 01990,2025-06-14,2025-07-19,254,N,교육과정 설명 01990
PRG01991,프로그램 01991,2025-06-15,2026-08-14,255,Y,교육과정 설명 01991
PRG01992,프로그램 01992,2025-06-16,2025-07-17,256,Y,교육과정 설명 01992
PRG01993,프로그램 01993,2025-06-17,2026-08-16,257,Y,교육과정 설명 01993
PRG01994,프로그램 01994,2025-06-18,2025-07-15,258,Y,교육과정 설명 01994
PRG01995,프로그램 01995,2025-06-19,2026-08-18,259,N,교육과정 설명 01995
PRG01996,프로그램 01996,2025-06-20,2025-07-13,260,Y,교육과정 설명 01996
PRG01997,프로그램 01997,2025-06-21,2026-08-20,261,Y,교육과정 설명 01997
PRG01998,프로그램 01998,2025-06-22,2025-07-11,262,Y,교육과정 설명 01998
PRG01999,프로그램 01999,2025-06-23,2026-08-22,263,Y,교육과정 설명 01999
PRG02000,프로그램 02000,2025-06-24,2025-07-09,264,N,교육과정 설명 02000
PRG02001,프로그램 02001,2025-06-25,2026-08-24,265,Y,교육과정 설명 02001
PRG02002,프로그램 02002,2025-06-26,2025-07-07,266,Y,교육과정 설명 02002
PRG02003,프로그램 02003,2025-06-27,2026-08-26,267,Y,교육과정 설명 02003
PRG02004,프로그램 02004,2025-06-28,2025-07-05,268,Y,교육과정 설명 02004
PRG02005,프로그램 02005,2025-06-29,2026-08-28,269,N,교육과정 설명 02005
PRG02006,프로그램 02006,2025-06-30,2025-07-03,270,Y,교육과정 설명 02006
PRG02007,프로그램 02007,2025-07-01,2026-08-30,271,Y,교육과정 설명 02007
PRG02008,프로그램 02008,2025-07-02,2025-08-06,272,Y,교육과정 설명 02008
PRG02009,프로그램 02009,2025-07-03,2026-09-01,273,Y,교육과정 설명 02009
PRG02010,프로그램 02010,2025-07-04,2025-08-10,274,N,교육과정 설명 02010
PRG02011,프로그램 02011,2025-07-05,2026-09-03,275,Y,교육과정 설명 02011
PRG02012,프로그램 02012,2025-07-06,2025-08-14,276,Y,교육과정 설명 02012
PRG02013,프로그램 02013,2025-07-07,2026-09-05,277,Y,교육과정 설명 02013
PRG02014,프로그램 02014,2025-07-08,2025-08-18,278,Y,교육과정 설명 02014
PRG02015,프로그램 02015,2025-07-09,2026-09-07,279,N,교육과정 설명 02015
PRG02016,프로그램 02016,2025-07-10,2025-08-22,280,Y,교육과정 설명 02016
PRG02017,프로그램 02017,2025-07-11,2026-09-09,281,Y,교육과정 설명 02017
PRG02018,프로그램 02018,2025-07-12,2025-08-26,282,Y,교육과정 설명 02018
PRG02019,프로그램 02019,2025-07-13,2026-09-11,283,Y,교육과정 설명 02019
PRG02020,프로그램 02020,2025-07-14,2025-08-30,284,N,교육과정 설명 02020
PRG02021,프로그램 02021,2025-07-15,2026-09-13,285,Y,교육과정 설명 02021
PRG02022,프로그램 02022,2025-07-16,2025-09-03,286,Y,교육과정 설명 02022
PRG02023,프로그램 02023,2025-07-17,2026-09-15,287,Y,교육과정 설명 02023
PRG02024,프로그램 02024,2025-07-18,2025-09-07,288,Y,교육과정 설명 02024
PRG02025,프로그램 02025,2025-07-19,2026-09-17,289,N,교육과정 설명 02025
PRG02026,프로그램 02026,2025-07-20,2025-09-11,290,Y,교육과정 설명 02026
PRG02027,프로그램 02027,2025-07-21,2026-09-19,291,Y,교육과정 설명 02027
PRG02028,프로그램 02028,2025-07-22,2025-09-15,292,Y,교육과정 설명 02028
PRG02029,프로그램 02029,2025-07-23,2026-09-21,293,Y,교육과정 설명 02029
PRG02030,프로그램 02030,2025-07-24,2025-09-19,294,N,교육과정 설명 02030
PRG02031,프로그램 02031,2025-07-25,2026-09-23,295,Y,교육과정 설명 02031
PRG02032,프로그램 02032,2025-07-26,2025-09-23,296,Y,교육과정 설명 02032
PRG02033,프로그램 02033,2025-07-27,2026-09-25,297,Y,교육과정 설명 02033
PRG02034,프로그램 02034,2025-07-28,2025-09-27,298,Y,교육과정 설명 02034
PRG02035,프로그램 02035,2025-07-29,2026-09-27,299,N,교육과정 설명 02035
PRG02036,프로그램 02036,2025-07-30,2025-10-01,300,Y,교육과정 설명 02036
PRG02037,프로그램 02037,2025-07-31,2026-09-29,10,Y,교육과정 설명 02037
PRG02038,프로그램 02038,2025-08-01,2025-10-05,11,Y,교육과정 설명 02038
PRG02039,프로그램 02039,2025-08-02,2026-10-01,12,Y,교육과정 설명 02039
PRG02040,프로그램 02040,2025-08-03,2025-08-10,13,N,교육과정 설명 02040
PRG02041,프로그램 02041,2025-08-04,2026-10-03,14,Y,교육과정 설명 02041
PRG02042,프로그램 02042,2025-08-05,2025-08-14,15,Y,교육과정 설명 02042
PRG02043,프로그램 02043,2025-08-06,2026-10-05,16,Y,교육과정 설명 02043
PRG02044,프로그램 02044,2025-08-07,2025-08-18,17,Y,교육과정 설명 02044
PRG02045,프로그램 02045,2025-08-08,2026-10-07,18,N,교육과정 설명 02045
PRG02046,프로그램 02046,2025-08-09,2025-08-22,19,Y,교육과정 설명 02046
PRG02047,프로그램 02047,2025-08-10,2026-10-09,20,Y,교육과정 설명 02047
PRG02048,프로그램 02048,2025-08-11,2025-08-26,21,Y,교육과정 설명 02048
PRG02049,프로그램 02049,2025-08-12,2026-10-11,22,Y,교육과정 설명 02049
PRG02050,프로그램 02050,2025-08-13,2025-08-30,23,N,교육과정 설명 02050
PRG02051,프로그램 02051,2025-08-14,2026-10-13,24,Y,교육과정 설명 02051
PRG02052,프로그램 02052,2025-08-15,2025-09-03,25,Y,교육과정 설명 02052
PRG02053,프로그램 02053,2025-08-16,2026-10-15,26,Y,교육과정 설명 02053
PRG02054,프로그램 02054,2025-08-17,2025-09-07,27,Y,교육과정 설명 02054
PRG02055,프로그램 02055,2025-08-18,2026-10-17,28,N,교육과정 설명 02055
PRG02056,프로그램 02056,2025-08-19,2025-09-11,29,Y,교육과정 설명 02056
PRG02057,프로그램 02057,2025-08-20,2026-10-19,30,Y,교육과정 설명 02057
PRG02058,프로그램 02058,2025-08-21,2025-09-15,31,Y,교육과정 설명 02058
PRG02059,프로그램 02059,2025-08-22,2026-10-21,32,Y,교육과정 설명 02059
PRG02060,프로그램 02060,2025-08-23,2025-09-19,33,N,교육과정 설명 02060
PRG02061,프로그램 02061,2025-08-24,2026-10-23,34,Y,교육과정 설명 02061
PRG02062,프로그램 02062,2025-08-25,2025-09-23,35,Y,교육과정 설명 02062
PRG02063,프로그램 02063,2025-08-26,2026-10-25,36,Y,교육과정 설명 02063
PRG02064,프로그램 02064,2025-08-27,2025-09-27,37,Y,교육과정 설명 02064
PRG02065,프로그램 02065,2025-08-28,2026-10-27,38,N,교육과정 설명 02065
PRG02066,프로그램 02066,2025-08-29,2025-10-01,39,Y,교육과정 설명 02066
PRG02067,프로그램 02067,2025-08-30,2026-10-29,40,Y,교육과정 설명 02067
PRG02068,프로그램 02068,2025-08-31,2025-10-05,41,Y,교육과정 설명 02068
PRG02069,프로그램 02069,2025-09-01,2026-10-31,42,Y,교육과정 설명 02069
PRG02070,프로그램 02070,2025-09-02,2025-10-09,43,N,교육과정 설명 02070
PRG02071,프로그램 02071,2025-09-03,2026-11-02,44,Y,교육과정 설명 02071
